learning_rate,activation_function,mae,mse,max_error,r2-score,training_time,test_time,total_time
0.01,relu,0.4310449856174743,0.2819276762164983,1.4735774792504561,-0.11106280799253332,8.928900957107544,0.045232534408569336,8.974133491516113
0.01,sigmoid,0.03772895829101454,0.0021595904979735746,0.11868812428174746,0.9914891623447784,9.318217515945435,0.04679107666015625,9.36500859260559
0.02,relu,0.4329632187765748,0.28520729652709653,1.5625597894369034,-0.12398762686928833,9.636332511901855,0.04369926452636719,9.680031776428223
0.02,sigmoid,0.046259602316067815,0.0031616256756793115,0.13853248202436808,0.9875401920514394,10.342209339141846,0.08451485633850098,10.426724195480347
0.03,relu,0.44152660895309376,0.2966250424661001,1.6461617608899755,-0.16898438999017107,9.813820838928223,0.04435563087463379,9.858176469802856
0.03,sigmoid,0.050322461467020234,0.003692751045215691,0.14736013330032893,0.9854470536537037,10.411844730377197,0.04883527755737305,10.46068000793457
0.04,relu,0.4506147979343736,0.3089121912869984,1.6747065424288523,-0.21740742619001518,9.595731973648071,0.04476308822631836,9.64049506187439
0.04,sigmoid,0.04658603679215132,0.003245925176803263,0.14911973236300136,0.9872079719526959,10.011569261550903,0.05281805992126465,10.064387321472168
