learning_rate,activation_function,test_time,training_time,mse,mae,max_error,r2
0.01,relu,0.05178213119506836,101.73739981651306,0.6587175103153402,0.7087973349988296,2.335997603727677,-1.595972614348046
0.01,sigmoid,0.05690622329711914,101.73739981651306,0.002898494371163174,0.04385376129614651,0.14137717966438434,0.9885771793028859
0.02,relu,0.05282282829284668,101.73739981651306,0.6587175103153402,0.7087973349988296,2.335997603727677,-1.595972614348046
0.02,sigmoid,0.05333209037780762,101.73739981651306,0.002898494371163174,0.04385376129614651,0.14137717966438434,0.9885771793028859
0.03,relu,0.05772089958190918,101.73739981651306,0.6587175103153402,0.7087973349988296,2.335997603727677,-1.595972614348046
0.03,sigmoid,0.07411050796508789,101.73739981651306,0.002898494371163174,0.04385376129614651,0.14137717966438434,0.9885771793028859
0.04,relu,0.06583237648010254,101.73739981651306,0.6587175103153402,0.7087973349988296,2.335997603727677,-1.595972614348046
0.04,sigmoid,0.0645749568939209,101.73739981651306,0.002898494371163174,0.04385376129614651,0.14137717966438434,0.9885771793028859
